subject_id,T1_1 Country,T1_1 County,T1_1 State/Province,T3_1 Locality,T4_1 Other Notes,T6_1 Collector,T8_1 Begin Month,T9_1 Begin Day,T10_1 Begin Year,T13_1 End Month,T14_1 End Day,T15_1 End Year,T19_1 Associated Plant or Plant Host,T20_1 Trap Type,T21_1 Determined By (Det. as),T22_1 Date of Determination,T23_1 Sex,T26_1 Elevation,Filename
81431265,United States of America,San Bernardino,California,Miller Canyon,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,L.A.Stange,7 - July - VII,1,1956,,,,,,W. E. LaBerge,,,,LACMENT591738_had_lbs.jpg
81431266,United States of America,Ventura,California,"Sand Dunes, Oxnard",Andrena (Melandrena) cerasifolii; No. 568; Andrena (Melandrena) cerasifolii Ckll.,R. S. Erdmann,6 - June - VI,7,1952,,,,,,W. E. LaBerge,June 7 1952,,,LACMENT591739_had_lbs.jpg
81431268,United States of America,Los Angeles,California,Leonis Valley,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,Menke,3 - March - III,15,1953,3 - March - III,15,1953,,,W. E. LaBerge,,,,LACMENT591740_had_lbs.jpg
81431270,United States of America,Los Angeles,California,"above Fern Dell, Griffith Park",Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,Gage & Menke,3 - March - III,5,1954,,,,,,W. E. LaBerge,,,,LACMENT591741_had_lbs.jpg
81431271,United States of America,Los Angeles,California,"Pearblossom, 6 mi. SE.",Andrena (Melandrena) cerasifolii,R.R. Snelling,3 - March - III,16,1972,,,,,,W. E. LaBerge,,,3500',LACMENT591742_had_lbs.jpg
81431274,United States of America,Los Angeles,California,"Pearblossom, 6 mi. SE.",Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,R.R. Snelling,3 - March - III,16,1972,3 - March - III,16,1972,,,W. E. LaBerge,1972,,3500',LACMENT591743_had_lbs.jpg
81431277,United States of America,San Bernardino,California,Miller Canyon,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,"A. Menke, Jr.",7 - July - VII,1,1956,,,,,,W. E. LaBerge,VII / 1 / 1956,,,LACMENT591744_had_lbs.jpg
81431278,United States of America,Riverside,California,The Gavilan,,C.Dammers,2 - February - II,6,1940,2 - February - II,6,1940,cerasifolii Ckll,,W. E. LaBerge,6 Feb 1940,♂,,LACMENT591745_had_lbs.jpg
81431282,United States of America,Los Angeles,California,Avalon Catalina I,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,,6 - June - VI,Not shown,1951,,,,,,W. E. LaBerge,,,,LACMENT591746_had_lbs.jpg
81431284,United States of America,Santa Cruz,California,Waddell Cr,Andrena (Melandrena) cerasifolii; Stanford Univ. Coll. Access'd L.A.C.M. 1964; Andrena (Melandrena) cerasifolii Ckll.,Fred Bianchi,4 - April - IV,3,1930,,,,,,W. E. LaBerge,1964,,,LACMENT591747_had_lbs.jpg
81431288,United States of America,Los Angeles,California,Henniger Flats,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,Menke & Sonntag,6 - June - VI,25,1955,,,,,,W. E. LaBerge,06/25/1955,,,LACMENT591748_had_lbs.jpg
